time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2015-05-05 04:25:28.694 UTC,109,3156997,600,11160,0,0,1,0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,1,0,2,4,0,0,46,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430799928410,3145728,0,0,0,0,2,40,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,956,2,0,0,0,0,26,787,3,1206,34254088,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:26:25.406 UTC,573,3262901,3160,116600,0,0,63,0,0.0,0,0,0,0,0,0,0,11,11,0,0,0,1,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,0,0,0,0,0,0,46,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430799928410,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,34927032,2,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:26:25.649 UTC,109,3178525,2200,32608,80,0,38,4,0.10526316,0,0,0,0,0,0,0,4,4,2,0,2,1,6,0,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,130194,2,0,127211,0,0,0,0,0,0,52,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430799985496,3145728,0,0,0,23,0,0,0,3,0,0,0,3,0,0,0,0,23,1,2048,1,0,0,0,1,239466,48,0,0,0,0,0,0,27,829,3,1206,41015048,2,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:27:25.673 UTC,109,3268973,3160,121856,1280,0,37,7,0.1891892,0,0,0,0,0,0,0,11,11,0,0,2,1,19,0,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,130194,2,0,127211,0,0,0,0,0,0,52,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430799985496,3145728,0,0,0,44,0,0,0,0,0,0,0,3,0,0,0,0,44,1,0,0,0,0,0,7,146545,51,0,0,0,0,0,0,0,0,0,0,44326440,3,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:28:25.676 UTC,3653,9509613,3480,6358952,1280,0,78863,0,0.0,0,0,0,0,0,0,0,303,20,0,0,290,2,25,0,1611,0,0,0,0,0,0,0,0,0,0,0,40699,0,0,130194,2,0,127211,0,0,0,0,0,0,76,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430799985496,3145728,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4096,2,7247400,7,0,0,0,0,34,1948,2,806,66996920,6,0,0,0,0,0,0,47193,1,0,0,1,0,2,0,326,0,336,0,0,0,0,0,0,0,574,0,0,36618,0,3836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:29:25.679 UTC,5877,17921973,3960,14769088,1280,0,130969,0,0.0,0,0,0,0,0,0,0,785,24,0,0,776,1,24,0,2321,0,0,0,0,0,0,0,0,0,0,0,124602,0,0,130194,2,0,127211,0,0,0,0,0,0,73,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430799985496,3145728,0,0,0,0,0,52,0,2,0,0,0,3,1,0,0,0,0,1,0,0,38,1,0,0,2048,1,9325857,10,0,0,0,0,32,1385,1,1111,98000960,7,0,0,0,0,0,0,79148,1,1,0,1,0,4,0,443,0,443,0,0,0,0,0,0,0,837,0,0,61809,0,4457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:30:14.345 UTC,791,3813903,2760,667384,0,0,70113,280,0.003993553,0,0,0,0,0,0,0,279,13,34755,0,276,272,16,0,35350,11,0,0,0,0,0,0,0,0,0,0,34463,6,0,8594668650,4,24726207,8594660799,1,3,5,13,0,0,69,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430800209499,3145728,0,0,0,308,1,21,1,5,1,0,0,3,2,0,0,0,308,0,79872,30,7970,1,0,4,38781331,4820,0,0,0,0,0,0,111,4668,6,3123,137378088,6,0,0,0,0,0,0,35481,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:30:33.062 UTC,32935,4109703,4600,931040,0,0,2012,533,0.26491055,0,0,0,0,0,0,0,359,21,0,0,348,344,29,0,66759,66744,0,0,0,0,0,0,0,0,0,0,1440,4,0,8594668650,4,24726207,8594660799,0,0,0,0,0,0,69,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430800209499,3145728,0,0,0,67289,0,0,0,4,0,0,0,3,0,0,0,0,67289,2,34816,17,2097130,2,0,8,137845723,67284,0,0,0,0,0,0,8,75,0,0,102080808,7,0,0,0,0,0,0,257734,0,0,0,74,0,453,0,66709,0,1,0,66709,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:30:34.363 UTC,327,3219975,2800,73360,560,2,38,8,0.21052632,0,0,0,0,0,0,0,8,8,3,2,3,2,12,0,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8596893353,5,0,8596871187,0,0,0,0,0,0,44,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430800233441,3145728,0,0,0,43,0,0,0,5,0,0,0,3,0,0,0,0,43,2,28672,14,0,0,0,7,7285616,602,0,0,0,0,0,0,119,4743,6,3123,122249040,6,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-05 04:30:41.081 UTC,2679,5425879,5320,2277472,0,1,4873,81,0.016622204,0,0,0,0,0,0,0,97,18,0,1,14,74,28,0,1241,65,0,0,0,0,0,0,0,0,0,0,2445,1,0,8596893353,5,0,8596871187,0,0,0,0,0,0,40,NaN,0,0,0,0,0,59712,0,1,0,158,140,18,1582,31,241,160,0,0,71,57725,0,0,0,0,0,0,0,0,1430800233441,3145728,0,0,0,154,0,91,0,14,0,0,0,3,1,0,0,0,157,3,5283840,51,2712187,3,0,16,6671900,164,244623,1,0,0,0,0,3,52,0,0,129538496,6,0,0,0,0,0,0,3257,0,0,0,1,0,0,0,63,0,63,0,0,0,0,0,0,0,130,0,0,605,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
